Date,Price
Apr 22,28.683
Jan 22,27.769
Oct 21,27.822
Jul 21,27.93
Apr 21,27.846
Jan 21,28.001
Oct 20,28.584
Jul 20,29.337
Apr 20,29.776
Jan 20,30.346
Oct 19,30.478
Jul 19,31.154
Apr 19,30.893
Jan 19,30.688
Oct 18,30.932
Jul 18,30.568
Apr 18,29.623
Jan 18,29.161
Oct 17,30.153
Jul 17,30.199
Apr 17,30.157
Jan 17,31.162
Oct 16,31.517
Jul 16,31.818
Apr 16,32.286
Jan 16,33.483
Oct 15,32.437
Jul 15,31.642
Apr 15,30.61
Jan 15,31.73
Oct 14,30.43
Jul 14,30.059
Apr 14,30.15
Jan 14,30.32
Oct 13,29.42
Jul 13,29.985
Apr 13,29.474
Jan 13,29.53
Oct 12,29.2
Jul 12,29.939
Apr 12,29.13
Jan 12,29.615
Oct 11,29.93
Jul 11,28.87
Apr 11,28.67
Jan 11,29.03
Oct 10,30.6
Jul 10,31.95
Apr 10,31.325
Jan 10,31.965
Oct 09,32.645
Jul 09,32.81
Apr 09,33.085
Jan 09,33.75
Oct 08,32.985
Jul 08,30.631
Apr 08,30.418
Jan 08,32.165
Oct 07,32.395
Jul 07,32.809
Apr 07,33.316
Jan 07,32.927
Oct 06,33.175
Jul 06,32.746
Apr 06,31.905
Jan 06,31.981
Oct 05,33.552
Jul 05,31.87
Apr 05,31.24
Jan 05,31.745
Oct 04,33.445
Jul 04,33.99
Apr 04,33.21
Jan 04,33.3
Oct 03,33.93
Jul 03,34.395
Apr 03,34.85
Jan 03,34.7
Oct 02,34.7
Jul 02,33.56
Apr 02,34.67
Jan 02,34.93
Oct 01,34.5
Jul 01,34.75
Apr 01,32.89
Jan 01,32.31
Oct 00,32.3
Jul 00,31.01
Apr 00,30.595
Jan 00,30.675
Oct 99,31.72
Jul 99,32.24
Apr 99,32.7
Jan 99,32.315
